Country,grade_fra,route_count,color_intensity
China,5b+,1,1
China,6,2,2
China,6a,1,1
China,6a+,1,1
China,6a+/6b,3,3
China,6a/+,3,3
China,6b,2,2
China,6b+,1,1
China,6b+/6c,6,6
China,6b/+,6,6
China,6c,2,2
China,6c/+,5,5
China,7a,9,9
China,7a+,7,7
China,7a/+,1,1
China,7b,11,11
China,7b+,3,3
China,7b+/7c,1,1
China,7b/+,2,2
China,7c,7,7
China,7c+,8,8
China,7c+/8a,3,3
China,7c/+,2,2
China,8a,3,3
China,8a+,6,6
China,8a+/8b,2,2
China,8a/+,4,4
China,8b,1,1
China,8b+,2,2
China,8b/+,1,1
China,8c+/9a,1,1
India,6c+/7a,1,1
India,7c+/8a,1,1
Israel,5,1,1
Israel,5b+,1,1
Israel,6,5,5
Israel,6a,1,1
Israel,6a+,1,1
Israel,6a+/6b,3,3
Israel,6a/+,2,2
Israel,6b,1,1
Israel,6b+,1,1
Israel,6b+/6c,5,5
Israel,6b/+,3,3
Israel,6c,2,2
Israel,6c+,1,1
Israel,6c+/7a,4,4
Israel,6c/+,1,1
Israel,7a,7,7
Israel,7a+,9,9
Israel,7a+/7b,2,2
Israel,7a/+,1,1
Israel,7b,2,2
Israel,7b+,2,2
Israel,7b+/7c,2,2
Israel,7b/+,1,1
Israel,7c,3,3
Israel,7c+,4,4
Israel,7c+/8a,1,1
Israel,8a,3,3
Israel,8a+,2,2
Israel,8a+/8b,3,3
Israel,8a/+,6,6
Israel,8b,1,1
Israel,8b+,2,2
Israel,8c/+,1,1
Jordan,5b+,1,1
Jordan,5c,1,1
Jordan,6a+/6b,2,2
Jordan,7a,1,1
Jordan,7a+/7b,1,1
Philippines,6c,1,1
Russia,5,1,1
Russia,5a+,3,3
Russia,5b+,15,15
Russia,5c,3,3
Russia,5c+,1,1
Russia,6,19,19
Russia,6a,5,5
Russia,6a+,14,14
Russia,6a+/6b,23,23
Russia,6a/+,16,16
Russia,6b,5,5
Russia,6b+,9,9
Russia,6b+/6c,21,21
Russia,6b/+,14,14
Russia,6c,10,10
Russia,6c+,6,6
Russia,6c+/7a,3,3
Russia,6c/+,11,11
Russia,7a,12,12
Russia,7a+,17,17
Russia,7a+/7b,5,5
Russia,7a/+,7,7
Russia,7b,13,13
Russia,7b+,12,12
Russia,7b+/7c,4,4
Russia,7b/+,6,6
Russia,7c,9,9
Russia,7c+,4,4
Russia,7c+/8a,1,1
Russia,7c/+,6,6
Russia,8a,1,1
Russia,8a+,2,2
Russia,8a+/8b,3,3
Russia,8a/+,7,7
Russia,8b,1,1
Russia,8b+/8c,1,1
Taiwan,6b+/6c,2,2
Taiwan,7b+,1,1
Thailand,5,1,1
Thailand,5a+,3,3
Thailand,5b,5,5
Thailand,5b+,5,5
Thailand,6,11,11
Thailand,6a,10,10
Thailand,6a+,13,13
Thailand,6a+/6b,42,42
Thailand,6a/+,20,20
Thailand,6b,9,9
Thailand,6b+,13,13
Thailand,6b+/6c,21,21
Thailand,6b/+,24,24
Thailand,6c,14,14
Thailand,6c+,8,8
Thailand,6c+/7a,5,5
Thailand,6c/+,21,21
Thailand,7a,31,31
Thailand,7a+,35,35
Thailand,7a+/7b,12,12
Thailand,7a/+,12,12
Thailand,7b,26,26
Thailand,7b+,8,8
Thailand,7b+/7c,4,4
Thailand,7b/+,14,14
Thailand,7c,15,15
Thailand,7c+,7,7
Thailand,7c+/8a,9,9
Thailand,7c/+,10,10
Thailand,8a,3,3
Thailand,8a+,1,1
Thailand,8a+/8b,9,9
Thailand,8a/+,9,9
Thailand,8b,2,2
Thailand,8b+,1,1
Thailand,8b+/8c,4,4
Thailand,8b/+,4,4
Thailand,8c,2,2
Thailand,8c+,1,1
Vietnam,6a,1,1
Vietnam,6a+/6b,1,1
Vietnam,6a/+,1,1
Vietnam,6b+,1,1
Vietnam,6b+/6c,1,1
Vietnam,6c,1,1
Vietnam,6c+/7a,1,1
Vietnam,6c/+,1,1
Vietnam,7a+,1,1
Vietnam,7b,1,1
